epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4251,2.45073,2.12946,1.05873,0.64057,0.5625,0.57703,0.18239,2.45433,2.05679,1.06266,0.000368509,0.000368509,0.000368509
2,105.864,2.45402,1.6044,1.07168,0.63384,0.49008,0.53919,0.20269,2.3629,1.96216,1.05585,0.000729699,0.000729699,0.000729699
3,158.995,2.40297,1.57793,1.04033,0.69392,0.60876,0.63653,0.23195,2.32509,2.66974,1.02587,0.00108172,0.00108172,0.00108172
