epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9128,2.27936,2.20852,1.01996,0.54449,0.57702,0.54806,0.18666,2.50904,1.93049,1.0507,0.000367247,0.000367247,0.000367247
2,110.79,2.22548,1.43184,1.01829,0.66411,0.62932,0.66009,0.22301,2.25607,3.10524,0.99487,0.000728453,0.000728453,0.000728453
3,167.721,2.2813,1.49854,1.02467,0.26157,0.56265,0.20682,0.06176,2.45301,7.69851,1.05859,0.00108049,0.00108049,0.00108049
4,225.087,2.23161,1.44948,1.01451,0.68471,0.58348,0.63713,0.25359,2.26888,1.64424,1.00665,0.00106975,0.00106975,0.00106975
5,282.878,2.21281,1.35445,1.00794,0.60733,0.58353,0.60141,0.22015,2.28759,1.50884,0.99341,0.00105601,0.00105601,0.00105601
6,345.764,2.16042,1.31027,0.98752,0.78282,0.63694,0.72203,0.2999,2.14792,1.4089,0.97937,0.00104226,0.00104226,0.00104226
