epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10635.9,1.52666,0.76892,0.90595,0.90652,0.8751,0.9348,0.51973,1.57248,0.89978,0.88816,0.000547306,0.000547306,0.000547306
43,10888.8,1.51936,0.75678,0.9056,0.90487,0.87102,0.93036,0.51926,1.5698,0.90886,0.88869,0.000533558,0.000533558,0.000533558
44,11141.4,1.48965,0.74422,0.90556,0.90357,0.87309,0.92566,0.5217,1.56519,0.89164,0.89026,0.000519809,0.000519809,0.000519809
45,11394.2,1.47711,0.72814,0.90077,0.91236,0.86957,0.93318,0.51945,1.57897,0.86607,0.89087,0.00050606,0.00050606,0.00050606
46,11646.6,1.48767,0.73538,0.90333,0.90465,0.87253,0.93042,0.5226,1.58616,0.87995,0.89182,0.000492312,0.000492312,0.000492312
47,11902.4,1.47742,0.72377,0.90034,0.8884,0.87918,0.9244,0.49907,1.6104,0.91705,0.89734,0.000478563,0.000478563,0.000478563
48,12168.1,1.4596,0.72085,0.89658,0.8974,0.87108,0.92884,0.51806,1.57943,0.85715,0.89136,0.000464815,0.000464815,0.000464815
49,12439.3,1.45068,0.716,0.89787,0.90309,0.87671,0.9304,0.52528,1.5631,0.85015,0.89152,0.000451066,0.000451066,0.000451066
50,12717.7,1.45154,0.71061,0.89335,0.91437,0.87479,0.93301,0.51975,1.56351,0.85097,0.89041,0.000437317,0.000437317,0.000437317
51,12987,1.44762,0.70636,0.89197,0.90681,0.88112,0.92774,0.5255,1.56887,0.85835,0.89136,0.000423569,0.000423569,0.000423569
52,13254.7,1.44047,0.70484,0.89429,0.88921,0.88965,0.93029,0.52789,1.57788,0.84741,0.89378,0.00040982,0.00040982,0.00040982
53,13536.1,1.41394,0.68634,0.88959,0.90641,0.87671,0.93044,0.52403,1.57528,0.86187,0.89268,0.000396071,0.000396071,0.000396071
54,13820.6,1.41622,0.68686,0.88876,0.90921,0.88193,0.93233,0.52711,1.58005,0.85853,0.89412,0.000382323,0.000382323,0.000382323
55,14109.2,1.40744,0.67243,0.88953,0.91203,0.8751,0.93477,0.52862,1.57251,0.85244,0.89284,0.000368574,0.000368574,0.000368574
56,14403.6,1.40022,0.67241,0.88461,0.91755,0.8671,0.93302,0.5273,1.56664,0.8325,0.89297,0.000354826,0.000354826,0.000354826
57,14693.1,1.38534,0.6622,0.88613,0.91177,0.8743,0.93479,0.53097,1.56706,0.82588,0.8913,0.000341077,0.000341077,0.000341077
58,14956.1,1.36729,0.6554,0.88521,0.91339,0.87871,0.93718,0.5304,1.5895,0.85112,0.89521,0.000327328,0.000327328,0.000327328
59,15220.6,1.37345,0.64939,0.88141,0.9133,0.87998,0.9336,0.53254,1.56693,0.82363,0.89217,0.00031358,0.00031358,0.00031358
60,15481.4,1.36768,0.65396,0.88058,0.90042,0.88603,0.93323,0.52974,1.58215,0.8194,0.89337,0.000299831,0.000299831,0.000299831
61,15756,1.35979,0.63815,0.88078,0.90876,0.88594,0.93775,0.53217,1.58755,0.81254,0.89449,0.000286083,0.000286083,0.000286083
62,16034.5,1.34762,0.63552,0.88029,0.90732,0.88554,0.93543,0.5302,1.585,0.81944,0.89463,0.000272334,0.000272334,0.000272334
63,16306.1,1.34049,0.63557,0.87639,0.91334,0.88353,0.93508,0.53022,1.60127,0.83159,0.89706,0.000258585,0.000258585,0.000258585
64,16582.9,1.33691,0.62981,0.87711,0.90738,0.88923,0.93978,0.534,1.59408,0.82946,0.89868,0.000244837,0.000244837,0.000244837
65,16842,1.32253,0.62506,0.875,0.89744,0.89608,0.9342,0.53499,1.59529,0.83174,0.89863,0.000231088,0.000231088,0.000231088
66,17097.5,1.30926,0.61772,0.87387,0.90994,0.8759,0.93227,0.53302,1.58751,0.83924,0.89692,0.000217339,0.000217339,0.000217339
67,17352.8,1.31873,0.62955,0.87361,0.91177,0.88153,0.93151,0.52866,1.58865,0.8133,0.89577,0.000203591,0.000203591,0.000203591
68,17608.4,1.29576,0.6061,0.87299,0.91011,0.88645,0.93412,0.53209,1.58375,0.81127,0.89716,0.000189842,0.000189842,0.000189842
69,17862.7,1.28308,0.59949,0.86945,0.91553,0.87992,0.93408,0.53219,1.59351,0.82371,0.89634,0.000176094,0.000176094,0.000176094
70,18117.5,1.28397,0.604,0.87271,0.90034,0.88891,0.93329,0.531,1.5981,0.82188,0.89655,0.000162345,0.000162345,0.000162345
71,18365.6,1.25713,0.59524,0.87279,0.90312,0.8873,0.92807,0.53117,1.60524,0.84639,0.89896,0.000148596,0.000148596,0.000148596
72,18613.7,1.24242,0.58857,0.87618,0.90488,0.88876,0.93338,0.53295,1.5984,0.82448,0.89796,0.000134848,0.000134848,0.000134848
73,18861.8,1.23657,0.57842,0.8728,0.91014,0.87859,0.93033,0.53001,1.60596,0.86648,0.89848,0.000121099,0.000121099,0.000121099
74,19109.7,1.22466,0.57293,0.86647,0.90941,0.88514,0.9315,0.5344,1.60492,0.82214,0.89793,0.00010735,0.00010735,0.00010735
75,19357.8,1.20713,0.56478,0.86738,0.90745,0.88514,0.93037,0.5324,1.60664,0.79773,0.89844,9.36017e-05,9.36017e-05,9.36017e-05
76,19605.4,1.19942,0.56677,0.86286,0.90416,0.88275,0.92796,0.53138,1.60414,0.80831,0.89644,7.98531e-05,7.98531e-05,7.98531e-05
77,19853.2,1.19185,0.5562,0.86608,0.90812,0.87912,0.92787,0.53093,1.6031,0.81504,0.8967,6.61045e-05,6.61045e-05,6.61045e-05
78,20101.1,1.19665,0.55589,0.86381,0.8964,0.88715,0.92907,0.53015,1.60429,0.82256,0.89826,5.23559e-05,5.23559e-05,5.23559e-05
79,20352,1.18846,0.55186,0.86385,0.89884,0.89157,0.93012,0.52965,1.6029,0.83182,0.89806,3.86073e-05,3.86073e-05,3.86073e-05
80,20607.2,1.18363,0.54469,0.86135,0.90434,0.88112,0.92837,0.53153,1.60407,0.82815,0.8983,2.48586e-05,2.48586e-05,2.48586e-05
