epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.259,2.05564,2.88148,1.23796,0.76196,0.29185,0.31216,0.13813,1.92913,1.9474,1.18615,0.000367417,0.000367417,0.000367417
2,30.8671,1.89215,1.73073,1.1818,0.74213,0.27125,0.28727,0.13151,1.92376,1.84985,1.19828,0.000730447,0.000730447,0.000730447
3,45.1191,1.8656,1.59933,1.17059,0.74611,0.32516,0.35476,0.16731,1.84136,1.57427,1.17415,0.00108614,0.00108614,0.00108614
4,59.3319,1.83179,1.46268,1.1541,0.81515,0.36326,0.40982,0.20172,1.73616,1.29143,1.11782,0.001078,0.001078,0.001078
